Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Posição na ocupação; Pessoas em idade ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual principal; Renda habitual total; Escolaridade; Horas trabalhadas principal; Horas trabalhadas total 
PNADC_012021 ;  ;  ;  ; Branca ; Sim ;  ; 16281217,899765 ; 16281217,899765 ; 16281217,899765 ; 0 ; 100 ; 100 ; 3337,81223169485 ; 3408,81944378953 ; 12,5542515593625 ; 41,9717400128853 ; 42,4224298178334 ; 
PNADC_012021 ;  ;  ;  ; Branca ; Não ; Trabalhador doméstico ; 1149645,46485752 ; 1149645,46485752 ; 1149645,46485752 ; 0 ; 100 ; 100 ; 1044,90379555244 ; 1052,54881957631 ; 8,7131110340032 ; 29,1725255122092 ; 29,5484819631071 ; 
PNADC_012021 ;  ;  ;  ; Branca ; Não ;  ; 5682352,26207235 ; 5682352,26207235 ; 5682352,26207235 ; 0 ; 100 ; 100 ; 2514,93418024353 ; 2640,44849099659 ; 11,3503063555068 ; 35,5969529526533 ; 36,2006876589051 ; 
PNADC_012021 ;  ;  ;  ; Indígena ;  ; Trabalhador doméstico ; 12286,61520972 ; 12286,61520972 ; 12286,61520972 ; 0 ; 100 ; 100 ; 755,00893418693 ; 755,00893418693 ; 9,12534448518452 ; 26,3735461007625 ; 26,3735461007625 ; 
PNADC_012021 ;  ;  ;  ; Indígena ;  ;  ; 520599,21242659 ; 249927,09776015 ; 289914,64161587 ; 13,7928680086129 ; 48,0075827612575 ; 55,6886439117983 ; 2359,13468826529 ; 2429,32512021821 ; 9,89689185193939 ; 39,8608191130063 ; 40,7277953973933 ; 
PNADC_012021 ;  ;  ;  ; Indígena ; Sim ; Trabalhador doméstico ; 1093,32926094 ; 1093,32926094 ; 1093,32926094 ; 0 ; 100 ; 100 ; 1291,55594893239 ; 1291,55594893239 ; 8,81050317149486 ; 40,558854801503 ; 40,558854801503 ; 
PNADC_012021 ;  ;  ;  ; Indígena ; Sim ;  ; 90480,62539893 ; 90480,62539893 ; 90480,62539893 ; 0 ; 100 ; 100 ; 2541,41291992552 ; 2636,62646547687 ; 11,2682836475612 ; 44,6470928138138 ; 45,9826576524311 ; 
PNADC_012021 ;  ;  ;  ; Indígena ; Não ; Trabalhador doméstico ; 11193,28594878 ; 11193,28594878 ; 11193,28594878 ; 0 ; 100 ; 100 ; 702,600503474485 ; 702,600503474485 ; 9,15909397340753 ; 24,987964319956 ; 24,987964319956 ; 
PNADC_012021 ;  ;  ;  ; Indígena ; Não ;  ; 56749,97672299 ; 56749,97672299 ; 56749,97672299 ; 0 ; 100 ; 100 ; 1384,79257264759 ; 1422,51632535333 ; 11,1128609981216 ; 37,1825376314835 ; 38,1473615109284 ; 
PNADC_012021 ;  ;  ;  ; Parda ;  ; Trabalhador doméstico ; 2456655,42677219 ; 2456655,42677219 ; 2456655,42677219 ; 0 ; 100 ; 100 ; 1037,20479756719 ; 1048,84662538187 ; 8,81246148329507 ; 31,755646373908 ; 31,9794607066762 ; 
PNADC_012021 ;  ;  ;  ; Parda ;  ;  ; 77998239,5097178 ; 38062373,8779861 ; 45864885,1144055 ; 17,0119498107469 ; 48,7990166409383 ; 58,8024619564538 ; 2193,32177682034 ; 2243,91719881458 ; 10,018808053063 ; 38,6537677103449 ; 39,1108086326289 ; 
PNADC_012021 ;  ;  ;  ; Parda ; Sim ; Trabalhador doméstico ; 638790,73051871 ; 638790,73051871 ; 638790,73051871 ; 0 ; 100 ; 100 ; 1569,43837903726 ; 1589,77769497719 ; 8,94879073906013 ; 41,5295814889945 ; 41,7259724631698 ; 
PNADC_012021 ;  ;  ;  ; Parda ; Sim ;  ; 13933526,6866938 ; 13933526,6866938 ; 13933526,6866938 ; 0 ; 100 ; 100 ; 2300,87817163292 ; 2329,58257367159 ; 11,4254134596481 ; 42,6627203118671 ; 42,9931473630009 ; 
PNADC_012021 ;  ;  ;  ; Parda ; Não ; Trabalhador doméstico ; 1817864,69625348 ; 1817864,69625348 ; 1817864,69625348 ; 0 ; 100 ; 100 ; 849,758065316474 ; 858,336734802496 ; 8,7644535310444 ; 28,3211228006871 ; 28,5545735972169 ; 
PNADC_012021 ;  ;  ;  ; Parda ; Não ;  ; 8013961,47047562 ; 8013961,47047562 ; 8013961,47047562 ; 0 ; 100 ; 100 ; 1387,07972948728 ; 1422,7070707661 ; 9,99421426414833 ; 34,8648323868266 ; 35,221943849248 ; 
PNADC_012021 ;  ;  ;  ; Preta ;  ; Trabalhador doméstico ; 638510,20526808 ; 638510,20526808 ; 638510,20526808 ; 0 ; 100 ; 100 ; 1095,92393606288 ; 1101,1497533492 ; 8,93946040788621 ; 32,8721791653162 ; 33,0637227000007 ; 
PNADC_012021 ;  ;  ;  ; Preta ;  ;  ; 15878087,361754 ; 8229272,54609966 ; 10131039,5124668 ; 18,7716864002645 ; 51,8278578433934 ; 63,8051629371291 ; 2125,47728232472 ; 2170,94621614185 ; 10,2685609948845 ; 38,7529411898794 ; 39,1792977790453 ; 
PNADC_012021 ;  ;  ;  ; Preta ; Sim ; Trabalhador doméstico ; 173752,4483858 ; 173752,4483858 ; 173752,4483858 ; 0 ; 100 ; 100 ; 1532,98508679038 ; 1533,92490850057 ; 8,82207341838727 ; 42,3362016742667 ; 42,3389613510744 ; 
PNADC_012021 ;  ;  ;  ; Preta ; Sim ;  ; 3356177,46910492 ; 3356177,46910492 ; 3356177,46910492 ; 0 ; 100 ; 100 ; 2246,43275075071 ; 2270,63362189498 ; 11,5128671493096 ; 42,4695187805686 ; 42,7499296555475 ; 
PNADC_012021 ;  ;  ;  ; Preta ; Não ; Trabalhador doméstico ; 464757,75688228 ; 464757,75688228 ; 464757,75688228 ; 0 ; 100 ; 100 ; 931,973470567817 ; 938,807051364221 ; 8,98384700738493 ; 29,3339981276515 ; 29,596119629107 ; 
PNADC_012021 ;  ;  ;  ; Preta ; Não ;  ; 1776364,29399908 ; 1776364,29399908 ; 1776364,29399908 ; 0 ; 100 ; 100 ; 1324,19326808872 ; 1360,12363873608 ; 10,2010829828248 ; 34,2082499855777 ; 34,6071435295815 ; 
PNADC_012021 ;  ;  ;  ; Negra ;  ; Trabalhador doméstico ; 3095165,63204027 ; 3095165,63204027 ; 3095165,63204027 ; 0 ; 100 ; 100 ; 1049,31054234205 ; 1059,62962278816 ; 8,83896102456 ; 31,9859789850131 ; 32,2031360863571 ; 
PNADC_012021 ;  ;  ;  ; Negra ;  ;  ; 93876326,8714717 ; 46291646,4240857 ; 55995924,6268723 ; 17,3303294256695 ; 49,3113098550018 ; 59,6486105634891 ; 2181,13149780335 ; 2230,80731014749 ; 10,060923697782 ; 38,6713977938584 ; 39,1229839578949 ; 
PNADC_012021 ;  ;  ;  ; Negra ; Sim ; Trabalhador doméstico ; 812543,17890451 ; 812543,17890451 ; 812543,17890451 ; 0 ; 100 ; 100 ; 1561,64328710362 ; 1577,83425781418 ; 8,92124242629061 ; 41,7020673774336 ; 41,8570526603482 ; 
PNADC_012021 ;  ;  ;  ; Negra ; Sim ;  ; 17289704,1557987 ; 17289704,1557987 ; 17289704,1557987 ; 0 ; 100 ; 100 ; 2290,30954112229 ; 2318,13974376558 ; 11,4423945119939 ; 42,625217146949 ; 42,945935346966 ; 
PNADC_012021 ;  ;  ;  ; Negra ; Não ; Trabalhador doméstico ; 2282622,45313576 ; 2282622,45313576 ; 2282622,45313576 ; 0 ; 100 ; 100 ; 866,482728812444 ; 874,706403744645 ; 8,80954658790223 ; 28,5273512395227 ; 28,7666395903494 ; 
PNADC_012021 ;  ;  ;  ; Negra ; Não ;  ; 9790325,7644747 ; 9790325,7644747 ; 9790325,7644747 ; 0 ; 100 ; 100 ; 1375,66895810396 ; 1411,35225892811 ; 10,0315854593091 ; 34,7457015671067 ; 35,1103940027907 ; 
PNADC_012021 ;  ;  ;  ; Não Negra ;  ; Trabalhador doméstico ; 1617523,52294663 ; 1617523,52294663 ; 1617523,52294663 ; 0 ; 100 ; 100 ; 1185,15683419055 ; 1191,28219212654 ; 8,69885770941791 ; 32,3529574906969 ; 32,634062234565 ; 
PNADC_012021 ;  ;  ;  ; Não Negra ;  ;  ; 77208142,2777984 ; 40790372,0796179 ; 46342933,6864385 ; 11,9814633324466 ; 52,8316973783053 ; 60,0233761870536 ; 3772,47676982875 ; 3909,42351481627 ; 11,2451428586059 ; 39,8555652705494 ; 40,5100707983795 ; 
PNADC_012021 ;  ;  ;  ; Não Negra ; Sim ; Trabalhador doméstico ; 445291,00415945 ; 445291,00415945 ; 445291,00415945 ; 0 ; 100 ; 100 ; 1560,76478136979 ; 1563,29818101445 ; 8,64481610207676 ; 40,8457014406463 ; 40,8961783347446 ; 
PNADC_012021 ;  ;  ;  ; Não Negra ; Sim ;  ; 16651059,0951749 ; 16651059,0951749 ; 16651059,0951749 ; 0 ; 100 ; 100 ; 3375,6560503795 ; 3446,75549921037 ; 12,567141064908 ; 42,0049097965561 ; 42,456000601044 ; 
PNADC_012021 ;  ;  ;  ; Não Negra ; Não ; Trabalhador doméstico ; 1172232,51878718 ; 1172232,51878718 ; 1172232,51878718 ; 0 ; 100 ; 100 ; 1041,53545491023 ; 1049,03427154962 ; 8,71971136890773 ; 29,1268548012281 ; 29,4955671700045 ; 
PNADC_012021 ;  ;  ;  ; Não Negra ; Não ;  ; 5828231,14230386 ; 5828231,14230386 ; 5828231,14230386 ; 0 ; 100 ; 100 ; 2508,55685351077 ; 2635,52942758147 ; 11,3685050966838 ; 35,6233958200799 ; 36,2353458940526 ; 
PNADC_012021 ;  ; Homem ;  ;  ;  ; Trabalhador doméstico ; 436311,14241855 ; 436311,14241855 ; 436311,14241855 ; 0 ; 100 ; 100 ; 1426,05151248043 ; 1467,60846559879 ; 8,25796280798237 ; 39,6347798356431 ; 40,5232864258176 ; 
PNADC_012021 ;  ; Homem ;  ;  ;  ;  ; 82710789,0865567 ; 51096833,2903746 ; 58164172,7409774 ; 12,1506747496879 ; 61,7777122606118 ; 70,3223526015556 ; 3190,32470065285 ; 3285,755564864 ; 10,4014151685129 ; 41,1556545710599 ; 41,688981919823 ; 
PNADC_012021 ;  ; Homem ;  ;  ; Sim ; Trabalhador doméstico ; 181146,58235295 ; 181146,58235295 ; 181146,58235295 ; 0 ; 100 ; 100 ; 1823,82240538344 ; 1885,36143951206 ; 8,0149927312553 ; 45,8094725155394 ; 46,2406429311963 ; 
PNADC_012021 ;  ; Homem ;  ;  ; Sim ;  ; 20005453,6095215 ; 20005453,6095215 ; 20005453,6095215 ; 0 ; 100 ; 100 ; 3034,38632378868 ; 3082,82279995748 ; 11,5806993824831 ; 43,2329068815489 ; 43,6314016566448 ; 
PNADC_012021 ;  ; Homem ;  ;  ; Não ; Trabalhador doméstico ; 255164,5600656 ; 255164,5600656 ; 255164,5600656 ; 0 ; 100 ; 100 ; 1140,87892122643 ; 1168,11018606036 ; 8,43096748735677 ; 35,2512381880278 ; 36,4644171581713 ; 
PNADC_012021 ;  ; Homem ;  ;  ; Não ;  ; 8324519,59074732 ; 8324519,59074732 ; 8324519,59074732 ; 0 ; 100 ; 100 ; 2009,27984204488 ; 2095,10917144641 ; 10,1711948291126 ; 37,9013516429662 ; 38,3861020261155 ; 
PNADC_012021 ;  ; Homem ;  ; Amarela ;  ; Trabalhador doméstico ; 2436,3671361 ; 2436,3671361 ; 2436,3671361 ; 0 ; 100 ; 100 ; 974,911043644955 ; 974,911043644955 ; 8,00477716663369 ; 22,9052657630165 ; 22,9052657630165 ; 
PNADC_012021 ;  ; Homem ;  ; Amarela ;  ;  ; 592294,11552892 ; 395834,28799005 ; 414018,29045686 ; 4,39207708595298 ; 66,8306973869847 ; 69,9007941497343 ; 5120,8805614914 ; 5302,56124055953 ; 12,6100860960026 ; 42,8996405942454 ; 43,3513940871328 ; 
PNADC_012021 ;  ; Homem ;  ; Amarela ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; NaN ; 
PNADC_012021 ;  ; Homem ;  ; Amarela ; Sim ;  ; 179536,09738926 ; 179536,09738926 ; 179536,09738926 ; 0 ; 100 ; 100 ; 5979,62914140349 ; 6086,47255996883 ; 13,7746824855017 ; 44,3332881283812 ; 44,6258085861666 ; 
PNADC_012021 ;  ; Homem ;  ; Amarela ; Não ; Trabalhador doméstico ; 2436,3671361 ; 2436,3671361 ; 2436,3671361 ; 0 ; 100 ; 100 ; 974,911043644955 ; 974,911043644955 ; 8,00477716663369 ; 22,9052657630165 ; 22,9052657630165 ; 
PNADC_012021 ;  ; Homem ;  ; Amarela ; Não ;  ; 56355,8574848 ; 56355,8574848 ; 56355,8574848 ; 0 ; 100 ; 100 ; 3554,53463256582 ; 3997,19946330257 ; 12,9074346500209 ; 35,8118650521139 ; 37,2526997022327 ; 
PNADC_012021 ;  ; Homem ;  ; Branca ;  ; Trabalhador doméstico ; 165271,53359577 ; 165271,53359577 ; 165271,53359577 ; 0 ; 100 ; 100 ; 1425,79503091386 ; 1465,39919967517 ; 8,64902668976484 ; 38,4641768844078 ; 40,2599877858372 ; 
PNADC_012021 ;  ; Homem ;  ; Branca ;  ;  ; 35688107,9254524 ; 22570913,608354 ; 25103403,1661024 ; 10,0882320257203 ; 63,2449152403975 ; 70,3410873407466 ; 4188,6493872833 ; 4336,95536547438 ; 11,1205498920426 ; 41,817205106877 ; 42,4497491884841 ; 
PNADC_012021 ;  ; Homem ;  ; Branca ; Sim ; Trabalhador doméstico ; 62384,46031854 ; 62384,46031854 ; 62384,46031854 ; 0 ; 100 ; 100 ; 1799,58193721152 ; 1813,65073004287 ; 7,84608212809557 ; 43,9037573828665 ; 44,0821920618814 ; 
PNADC_012021 ;  ; Homem ;  ; Branca ; Sim ;  ; 9159926,9967776 ; 9159926,9967776 ; 9159926,9967776 ; 0 ; 100 ; 100 ; 3602,64199304828 ; 3672,02159085305 ; 12,1387868636647 ; 42,9628060911481 ; 43,4261878336619 ; 
PNADC_012021 ;  ; Homem ;  ; Branca ; Não ; Trabalhador doméstico ; 102887,07327723 ; 102887,07327723 ; 102887,07327723 ; 0 ; 100 ; 100 ; 1197,21144517207 ; 1252,43137707274 ; 9,13843988853395 ; 35,1659462812179 ; 37,9424357028292 ; 
PNADC_012021 ;  ; Homem ;  ; Branca ; Não ;  ; 2882999,75458744 ; 2882999,75458744 ; 2882999,75458744 ; 0 ; 100 ; 100 ; 2940,05614535898 ; 3120,73467906338 ; 11,2055834077171 ; 38,7745753225758 ; 39,5015766369221 ; 
PNADC_012021 ;  ; Homem ;  ; Indígena ;  ; Trabalhador doméstico ; 1312,7989005 ; 1312,7989005 ; 1312,7989005 ; 0 ; 100 ; 100 ; 768,365306304845 ; 768,365306304845 ; 6,7146870097454 ; 36,8149927228401 ; 36,8149927228401 ; 
PNADC_012021 ;  ; Homem ;  ; Indígena ;  ;  ; 231721,62838314 ; 149840,28487707 ; 169529,65650459 ; 11,61411639325 ; 64,6639184795114 ; 73,1609119474516 ; 2302,58348755295 ; 2371,56382155233 ; 9,71557341774102 ; 40,7874606959219 ; 41,4890678004934 ; 
PNADC_012021 ;  ; Homem ;  ; Indígena ; Sim ; Trabalhador doméstico ; 47,3187065 ; 47,3187065 ; 47,3187065 ; 0 ; 100 ; 100 ; 1296,64267708163 ; 1296,64267708163 ; 8 ; 40 ; 40 ; 
PNADC_012021 ;  ; Homem ;  ; Indígena ; Sim ;  ; 54524,44212008 ; 54524,44212008 ; 54524,44212008 ; 0 ; 100 ; 100 ; 2202,64050567041 ; 2257,3801823052 ; 10,6196787381844 ; 42,8832848714864 ; 43,8738407288216 ; 
PNADC_012021 ;  ; Homem ;  ; Indígena ; Não ; Trabalhador doméstico ; 1265,480194 ; 1265,480194 ; 1265,480194 ; 0 ; 100 ; 100 ; 748,6120126722 ; 748,6120126722 ; 6,65993884225735 ; 36,6958992551882 ; 36,6958992551882 ; 
PNADC_012021 ;  ; Homem ;  ; Indígena ; Não ;  ; 31218,93565897 ; 31218,93565897 ; 31218,93565897 ; 0 ; 100 ; 100 ; 1534,22628009154 ; 1561,78255400816 ; 10,9043201971196 ; 42,2238660646594 ; 42,5921951599128 ; 
PNADC_012021 ;  ; Homem ;  ; Parda ;  ; Trabalhador doméstico ; 217657,90093498 ; 217657,90093498 ; 217657,90093498 ; 0 ; 100 ; 100 ; 1456,42849723601 ; 1508,74130201858 ; 7,8773211503171 ; 41,2230774791244 ; 41,6383594545907 ; 
PNADC_012021 ;  ; Homem ;  ; Parda ;  ;  ; 38288923,7374457 ; 23078435,6760839 ; 26700099,0856488 ; 13,564232094972 ; 60,2744434247801 ; 69,7332191124942 ; 2373,94065903124 ; 2428,34976191511 ; 9,76186604246643 ; 40,5823472450946 ; 41,0525014603138 ; 
PNADC_012021 ;  ; Homem ;  ; Parda ; Sim ; Trabalhador doméstico ; 100422,77483216 ; 100422,77483216 ; 100422,77483216 ; 0 ; 100 ; 100 ; 1870,86347001744 ; 1971,5041400177 ; 8,11857181158359 ; 47,1212896316295 ; 47,7834302223922 ; 
PNADC_012021 ;  ; Homem ;  ; Parda ; Sim ;  ; 8598797,12978277 ; 8598797,12978277 ; 8598797,12978277 ; 0 ; 100 ; 100 ; 2503,55774161341 ; 2534,74221025974 ; 11,0401780063158 ; 43,4472558051654 ; 43,8077624456524 ; 
PNADC_012021 ;  ; Homem ;  ; Parda ; Não ; Trabalhador doméstico ; 117235,12610282 ; 117235,12610282 ; 117235,12610282 ; 0 ; 100 ; 100 ; 1099,54804927855 ; 1110,24450573038 ; 7,67241282060953 ; 36,1707109180663 ; 36,3745355601941 ; 
PNADC_012021 ;  ; Homem ;  ; Parda ; Não ;  ; 4405611,73966888 ; 4405611,73966888 ; 4405611,73966888 ; 0 ; 100 ; 100 ; 1507,52624608471 ; 1539,40161079192 ; 9,50346635893112 ; 37,6203926590598 ; 37,9746498274972 ; 
PNADC_012021 ;  ; Homem ;  ; Preta ;  ; Trabalhador doméstico ; 49632,5418512 ; 49632,5418512 ; 49632,5418512 ; 0 ; 100 ; 100 ; 1329,39989731597 ; 1332,73617764318 ; 8,65639088522194 ; 37,4632784289645 ; 37,4729394413609 ; 
PNADC_012021 ;  ; Homem ;  ; Preta ;  ;  ; 7885601,59533167 ; 4888521,41129493 ; 5762497,99312935 ; 15,1666270925641 ; 61,9930052538917 ; 73,0762000015419 ; 2292,82873691998 ; 2331,93179887169 ; 9,98917003819989 ; 40,6691146298794 ; 41,0452060338258 ; 
PNADC_012021 ;  ; Homem ;  ; Preta ; Sim ; Trabalhador doméstico ; 18292,02849575 ; 18292,02849575 ; 18292,02849575 ; 0 ; 100 ; 100 ; 1649,60333204583 ; 1658,53051708868 ; 8,03489689871391 ; 45,1220469478696 ; 45,1482605852582 ; 
PNADC_012021 ;  ; Homem ;  ; Preta ; Sim ;  ; 2008845,19933563 ; 2008845,19933563 ; 2008845,19933563 ; 0 ; 100 ; 100 ; 2462,76014005636 ; 2484,2480107192 ; 11,1564747740983 ; 43,4642971409143 ; 43,7236873873758 ; 
PNADC_012021 ;  ; Homem ;  ; Preta ; Não ; Trabalhador doméstico ; 31340,51335545 ; 31340,51335545 ; 31340,51335545 ; 0 ; 100 ; 100 ; 1138,32377022628 ; 1138,32377022628 ; 9,04037279818753 ; 32,9932044898022 ; 32,9932044898022 ; 
PNADC_012021 ;  ; Homem ;  ; Preta ; Não ;  ; 948333,30334723 ; 948333,30334723 ; 948333,30334723 ; 0 ; 100 ; 100 ; 1451,51427500087 ; 1482,76958615972 ; 9,86076831739921 ; 36,5337977010573 ; 36,8353283914137 ; 
PNADC_012021 ;  ; Homem ;  ; Negra ;  ; Trabalhador doméstico ; 267290,44278618 ; 267290,44278618 ; 267290,44278618 ; 0 ; 100 ; 100 ; 1433,05327036582 ; 1476,35363723144 ; 8,02189130292981 ; 40,5249291212408 ; 40,8648922816554 ; 
PNADC_012021 ;  ; Homem ;  ; Negra ;  ;  ; 46174525,3327774 ; 27966957,0873788 ; 32462597,0787782 ; 13,8486763104307 ; 60,5679362934918 ; 70,3041273187368 ; 2359,64291475851 ; 2411,35634068828 ; 9,800520658819 ; 40,5975138653671 ; 41,0512262465507 ; 
PNADC_012021 ;  ; Homem ;  ; Negra ; Sim ; Trabalhador doméstico ; 118714,80332791 ; 118714,80332791 ; 118714,80332791 ; 0 ; 100 ; 100 ; 1836,77086627053 ; 1923,27997362437 ; 8,10524390196372 ; 46,813238713664 ; 47,3773932603425 ; 
PNADC_012021 ;  ; Homem ;  ; Negra ; Sim ;  ; 10607642,3291184 ; 10607642,3291184 ; 10607642,3291184 ; 0 ; 100 ; 100 ; 2495,83160761591 ; 2525,1797620555 ; 11,0622176834999 ; 43,4504830449655 ; 43,7918405497246 ; 
PNADC_012021 ;  ; Homem ;  ; Negra ; Não ; Trabalhador doméstico ; 148575,63945827 ; 148575,63945827 ; 148575,63945827 ; 0 ; 100 ; 100 ; 1107,61895176913 ; 1116,08901358773 ; 7,95508270433362 ; 35,5004483971366 ; 35,6612783131972 ; 
PNADC_012021 ;  ; Homem ;  ; Negra ; Não ;  ; 5353945,04301611 ; 5353945,04301611 ; 5353945,04301611 ; 0 ; 100 ; 100 ; 1497,5812660176 ; 1529,34811640215 ; 9,56608089730358 ; 37,4279263229947 ; 37,7728441585233 ; 
PNADC_012021 ;  ; Homem ;  ; Não Negra ;  ; Trabalhador doméstico ; 169020,69963237 ; 169020,69963237 ; 169020,69963237 ; 0 ; 100 ; 100 ; 1414,95480282354 ; 1453,74871322009 ; 8,62582307465492 ; 38,2270919180643 ; 39,983068685246 ; 
PNADC_012021 ;  ; Homem ;  ; Não Negra ;  ;  ; 36536263,7537794 ; 23129876,2029957 ; 25701575,6621992 ; 10,0059992157828 ; 63,3066269689471 ; 70,345385711588 ; 4194,26534621961 ; 4342,56236385352 ; 11,1376653388147 ; 41,8305175503442 ; 42,4601095034774 ; 
PNADC_012021 ;  ; Homem ;  ; Não Negra ; Sim ; Trabalhador doméstico ; 62431,77902504 ; 62431,77902504 ; 62431,77902504 ; 0 ; 100 ; 100 ; 1799,20074616413 ; 1813,25887588305 ; 7,84620178413135 ; 43,9007986212753 ; 44,0790980598993 ; 
PNADC_012021 ;  ; Homem ;  ; Não Negra ; Sim ;  ; 9397811,28040315 ; 9397811,28040315 ; 9397811,28040315 ; 0 ; 100 ; 100 ; 3642,27209988776 ; 3712,25424062943 ; 12,1619143397725 ; 42,9873209624447 ; 43,45030859756 ; 
PNADC_012021 ;  ; Homem ;  ; Não Negra ; Não ; Trabalhador doméstico ; 106588,92060733 ; 106588,92060733 ; 106588,92060733 ; 0 ; 100 ; 100 ; 1187,35219654827 ; 1240,7979939668 ; 9,08506411638754 ; 34,9038609374947 ; 37,5839225137551 ; 
PNADC_012021 ;  ; Homem ;  ; Não Negra ; Não ;  ; 2970574,54773121 ; 2970574,54773121 ; 2970574,54773121 ; 0 ; 100 ; 100 ; 2936,68211696657 ; 3120,65508096164 ; 11,2352687604896 ; 38,7546186135042 ; 39,4913928941039 ; 
