Local; Sexo; Faixa etária; Raça; Previdência; Posição; Atividade; Força de trabalho; Pessoas ocupadas; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual
Ceará ; Homem ; Jovem ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 378.68831075 ; 378.68831075 ; 378.68831075 ; 0 ; 100 ; 100 ; 200 
Ceará ; Homem ; Jovem ; Preta ;  ;  ; Serviços domésticos ; 378.68831075 ; 378.68831075 ; 378.68831075 ; 0 ; 100 ; 100 ; 200 
Ceará ; Homem ; Jovem ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ;  ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Jovem ;  ; Não contribuinte ;  ; Serviços domésticos ; 3905.07327427 ; 3905.07327427 ; 3905.07327427 ; 0 ; 100 ; 100 ; 629.24852747601 
Ceará ; Homem ; Jovem ;  ;  ;  ; Serviços domésticos ; 3905.07327427 ; 3905.07327427 ; 3905.07327427 ; 0 ; 100 ; 100 ; 629.24852747601 
Ceará ; Homem ; Pleno ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Branca ; Contribuinte ;  ; Serviços domésticos ; 538.30155249 ; 538.30155249 ; 538.30155249 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Homem ; Pleno ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 387.49237055 ; 387.49237055 ; 387.49237055 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Homem ; Pleno ; Branca ;  ;  ; Serviços domésticos ; 925.79392304 ; 925.79392304 ; 925.79392304 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Homem ; Pleno ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Indígena ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Parda ; Contribuinte ;  ; Serviços domésticos ; 4082.28281712 ; 4082.28281712 ; 4082.28281712 ; 0 ; 100 ; 100 ; 1475.76525687179 
Ceará ; Homem ; Pleno ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 5285.88729476 ; 5285.88729476 ; 5285.88729476 ; 0 ; 100 ; 100 ; 757.645218099497 
Ceará ; Homem ; Pleno ; Parda ;  ;  ; Serviços domésticos ; 9368.17011188 ; 9368.17011188 ; 9368.17011188 ; 0 ; 100 ; 100 ; 1070.57389679547 
Ceará ; Homem ; Pleno ; Preta ; Contribuinte ;  ; Serviços domésticos ; 447.12715055 ; 447.12715055 ; 447.12715055 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Homem ; Pleno ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 424.37521213 ; 424.37521213 ; 424.37521213 ; 0 ; 100 ; 100 ; 400 
Ceará ; Homem ; Pleno ; Preta ;  ;  ; Serviços domésticos ; 871.50236268 ; 871.50236268 ; 871.50236268 ; 0 ; 100 ; 100 ; 872.00902271913 
Ceará ; Homem ; Pleno ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Pleno ;  ; Contribuinte ;  ; Serviços domésticos ; 5067.71152016 ; 5067.71152016 ; 5067.71152016 ; 0 ; 100 ; 100 ; 1445.47632774723 
Ceará ; Homem ; Pleno ;  ; Não contribuinte ;  ; Serviços domésticos ; 6097.75487744 ; 6097.75487744 ; 6097.75487744 ; 0 ; 100 ; 100 ; 768.49059046354 
Ceará ; Homem ; Pleno ;  ;  ;  ; Serviços domésticos ; 11165.4663976 ; 11165.4663976 ; 11165.4663976 ; 0 ; 100 ; 100 ; 1075.75661031865 
Ceará ; Homem ; Senior ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Branca ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 309.99752 ; 309.99752 ; 309.99752 ; 0 ; 100 ; 100 ; 875.653787036748 
Ceará ; Homem ; Senior ; Branca ;  ;  ; Serviços domésticos ; 309.99752 ; 309.99752 ; 309.99752 ; 0 ; 100 ; 100 ; 875.653787036748 
Ceará ; Homem ; Senior ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Indígena ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Parda ; Contribuinte ;  ; Serviços domésticos ; 1451.2175003 ; 1451.2175003 ; 1451.2175003 ; 0 ; 100 ; 100 ; 1333.89972882895 
Ceará ; Homem ; Senior ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 4233.88246598 ; 4233.88246598 ; 4233.88246598 ; 0 ; 100 ; 100 ; 483.59934159832 
Ceará ; Homem ; Senior ; Parda ;  ;  ; Serviços domésticos ; 5685.09996628 ; 5685.09996628 ; 5685.09996628 ; 0 ; 100 ; 100 ; 700.652834022377 
Ceará ; Homem ; Senior ; Preta ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Preta ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Senior ;  ; Contribuinte ;  ; Serviços domésticos ; 1451.2175003 ; 1451.2175003 ; 1451.2175003 ; 0 ; 100 ; 100 ; 1333.89972882895 
Ceará ; Homem ; Senior ;  ; Não contribuinte ;  ; Serviços domésticos ; 4543.87998598 ; 4543.87998598 ; 4543.87998598 ; 0 ; 100 ; 100 ; 510.346506172623 
Ceará ; Homem ; Senior ;  ;  ;  ; Serviços domésticos ; 5995.09748628 ; 5995.09748628 ; 5995.09748628 ; 0 ; 100 ; 100 ; 709.701871432735 
Ceará ; Homem ; Idoso ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Branca ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 225.48336366 ; 225.48336366 ; 225.48336366 ; 0 ; 100 ; 100 ; 400 
Ceará ; Homem ; Idoso ; Branca ;  ;  ; Serviços domésticos ; 225.48336366 ; 225.48336366 ; 225.48336366 ; 0 ; 100 ; 100 ; 400 
Ceará ; Homem ; Idoso ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Indígena ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Parda ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 261.59058311 ; 261.59058311 ; 261.59058311 ; 0 ; 100 ; 100 ; NaN 
Ceará ; Homem ; Idoso ; Parda ;  ;  ; Serviços domésticos ; 261.59058311 ; 261.59058311 ; 261.59058311 ; 0 ; 100 ; 100 ; NaN 
Ceará ; Homem ; Idoso ; Preta ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Preta ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ;  ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ; Idoso ;  ; Não contribuinte ;  ; Serviços domésticos ; 487.07394677 ; 487.07394677 ; 487.07394677 ; 0 ; 100 ; 100 ; 400 
Ceará ; Homem ; Idoso ;  ;  ;  ; Serviços domésticos ; 487.07394677 ; 487.07394677 ; 487.07394677 ; 0 ; 100 ; 100 ; 400 
Ceará ; Homem ;  ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Branca ; Contribuinte ;  ; Serviços domésticos ; 538.30155249 ; 538.30155249 ; 538.30155249 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Homem ;  ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 1910.23552638 ; 1910.23552638 ; 1910.23552638 ; 0 ; 100 ; 100 ; 855.778484644832 
Ceará ; Homem ;  ; Branca ;  ;  ; Serviços domésticos ; 2448.53707887 ; 2448.53707887 ; 2448.53707887 ; 0 ; 100 ; 100 ; 957.835816988875 
Ceará ; Homem ;  ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Indígena ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Parda ; Contribuinte ;  ; Serviços domésticos ; 5533.50031742 ; 5533.50031742 ; 5533.50031742 ; 0 ; 100 ; 100 ; 1438.55955972257 
Ceará ; Homem ;  ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 12320.4830352 ; 12320.4830352 ; 12320.4830352 ; 0 ; 100 ; 100 ; 636.436517999716 
Ceará ; Homem ;  ; Parda ;  ;  ; Serviços domésticos ; 17853.98335262 ; 17853.98335262 ; 17853.98335262 ; 0 ; 100 ; 100 ; 893.762630732235 
Ceará ; Homem ;  ; Preta ; Contribuinte ;  ; Serviços domésticos ; 447.12715055 ; 447.12715055 ; 447.12715055 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Homem ;  ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 803.06352288 ; 803.06352288 ; 803.06352288 ; 0 ; 100 ; 100 ; 305.689076900935 
Ceará ; Homem ;  ; Preta ;  ;  ; Serviços domésticos ; 1250.19067343 ; 1250.19067343 ; 1250.19067343 ; 0 ; 100 ; 100 ; 668.454503372035 
Ceará ; Homem ;  ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Homem ;  ;  ; Contribuinte ;  ; Serviços domésticos ; 6518.92902046 ; 6518.92902046 ; 6518.92902046 ; 0 ; 100 ; 100 ; 1420.63759849186 
Ceará ; Homem ;  ;  ; Não contribuinte ;  ; Serviços domésticos ; 15033.78208446 ; 15033.78208446 ; 15033.78208446 ; 0 ; 100 ; 100 ; 647.06709834582 
Ceará ; Homem ;  ;  ;  ;  ; Serviços domésticos ; 21552.71110492 ; 21552.71110492 ; 21552.71110492 ; 0 ; 100 ; 100 ; 887.805222391199 
Ceará ; Mulher ; Jovem ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Branca ; Contribuinte ;  ; Serviços domésticos ; 250.12438556 ; 250.12438556 ; 250.12438556 ; 0 ; 100 ; 100 ; 100 
Ceará ; Mulher ; Jovem ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 9795.42680444 ; 9795.42680444 ; 9795.42680444 ; 0 ; 100 ; 100 ; 455.900519979426 
Ceará ; Mulher ; Jovem ; Branca ;  ;  ; Serviços domésticos ; 10045.55119 ; 10045.55119 ; 10045.55119 ; 0 ; 100 ; 100 ; 447.038945617139 
Ceará ; Mulher ; Jovem ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 290.77550153 ; 290.77550153 ; 290.77550153 ; 0 ; 100 ; 100 ; 550 
Ceará ; Mulher ; Jovem ; Indígena ;  ;  ; Serviços domésticos ; 290.77550153 ; 290.77550153 ; 290.77550153 ; 0 ; 100 ; 100 ; 550 
Ceará ; Mulher ; Jovem ; Parda ; Contribuinte ;  ; Serviços domésticos ; 1755.84324466 ; 1755.84324466 ; 1755.84324466 ; 0 ; 100 ; 100 ; 1440.4267899754 
Ceará ; Mulher ; Jovem ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 25733.40532573 ; 25733.40532573 ; 25733.40532573 ; 0 ; 100 ; 100 ; 483.930468464497 
Ceará ; Mulher ; Jovem ; Parda ;  ;  ; Serviços domésticos ; 27489.24857039 ; 27489.24857039 ; 27489.24857039 ; 0 ; 100 ; 100 ; 545.417938966535 
Ceará ; Mulher ; Jovem ; Preta ; Contribuinte ;  ; Serviços domésticos ; 404.74718793 ; 404.74718793 ; 404.74718793 ; 0 ; 100 ; 100 ; 1320 
Ceará ; Mulher ; Jovem ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 3884.9821449 ; 3884.9821449 ; 3884.9821449 ; 0 ; 100 ; 100 ; 757.84591298869 
Ceará ; Mulher ; Jovem ; Preta ;  ;  ; Serviços domésticos ; 4289.72933283 ; 4289.72933283 ; 4289.72933283 ; 0 ; 100 ; 100 ; 810.886622144827 
Ceará ; Mulher ; Jovem ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Jovem ;  ; Contribuinte ;  ; Serviços domésticos ; 2410.71481815 ; 2410.71481815 ; 2410.71481815 ; 0 ; 100 ; 100 ; 1281.13136899341 
Ceará ; Mulher ; Jovem ;  ; Não contribuinte ;  ; Serviços domésticos ; 39704.5897766 ; 39704.5897766 ; 39704.5897766 ; 0 ; 100 ; 100 ; 504.391381653587 
Ceará ; Mulher ; Jovem ;  ;  ;  ; Serviços domésticos ; 42115.30459475 ; 42115.30459475 ; 42115.30459475 ; 0 ; 100 ; 100 ; 549.038596790542 
Ceará ; Mulher ; Pleno ; Amarela ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Amarela ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Amarela ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Branca ; Contribuinte ;  ; Serviços domésticos ; 2695.20807302 ; 2695.20807302 ; 2695.20807302 ; 0 ; 100 ; 100 ; 1118.97396158483 
Ceará ; Mulher ; Pleno ; Branca ; Não contribuinte ;  ; Serviços domésticos ; 19835.15473486 ; 19835.15473486 ; 19835.15473486 ; 0 ; 100 ; 100 ; 459.248632869405 
Ceará ; Mulher ; Pleno ; Branca ;  ;  ; Serviços domésticos ; 22530.36280788 ; 22530.36280788 ; 22530.36280788 ; 0 ; 100 ; 100 ; 538.168668338505 
Ceará ; Mulher ; Pleno ; Indígena ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Indígena ; Não contribuinte ;  ; Serviços domésticos ; 997.86247946 ; 997.86247946 ; 997.86247946 ; 0 ; 100 ; 100 ; 985.659234992637 
Ceará ; Mulher ; Pleno ; Indígena ;  ;  ; Serviços domésticos ; 997.86247946 ; 997.86247946 ; 997.86247946 ; 0 ; 100 ; 100 ; 985.659234992637 
Ceará ; Mulher ; Pleno ; Parda ; Contribuinte ;  ; Serviços domésticos ; 11000.58215698 ; 11000.58215698 ; 11000.58215698 ; 0 ; 100 ; 100 ; 1028.98109074369 
Ceará ; Mulher ; Pleno ; Parda ; Não contribuinte ;  ; Serviços domésticos ; 76402.71503226 ; 76402.71503226 ; 76402.71503226 ; 0 ; 100 ; 100 ; 526.854841229189 
Ceará ; Mulher ; Pleno ; Parda ;  ;  ; Serviços domésticos ; 87403.29718924 ; 87403.29718924 ; 87403.29718924 ; 0 ; 100 ; 100 ; 590.191377225008 
Ceará ; Mulher ; Pleno ; Preta ; Contribuinte ;  ; Serviços domésticos ; 570.85340384 ; 570.85340384 ; 570.85340384 ; 0 ; 100 ; 100 ; 1023.20166423027 
Ceará ; Mulher ; Pleno ; Preta ; Não contribuinte ;  ; Serviços domésticos ; 12016.30595796 ; 12016.30595796 ; 12016.30595796 ; 0 ; 100 ; 100 ; 622.324033580162 
Ceará ; Mulher ; Pleno ; Preta ;  ;  ; Serviços domésticos ; 12587.1593618 ; 12587.1593618 ; 12587.1593618 ; 0 ; 100 ; 100 ; 640.504653480346 
Ceará ; Mulher ; Pleno ; Negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Não-negra ; Contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Não-negra ; Não contribuinte ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
Ceará ; Mulher ; Pleno ; Não-negra ;  ;  ; Serviços domésticos ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN 
